ppd_id,fy,EEGroupID,TierID,source_GASBSchedules,notes_GASBSchedules,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,ActLiabilities_other,payroll,RequiredContribution,PercentReqContPaid,ARC,PercentARCPaid,TotalPensionLiability,NetPosition,NetPensionLiability,ADEC,AEC,CoveredPayroll_GASB67,PercentADEC,ActAssets_est,ActLiabilities_est,ActFundedRatio_est,RequiredContribution_est,ActValDate_GASBSchedules
42,2001,0,0,,,13299161,14642129,.9079999999999999,1342968,0,2213772,262800,1,262800,1,,,,,,,,0,0,0,,30jun2001
42,2002,0,0,,,13588847,15695574,.866,2106727,0,2313663,284800,1,284800,1,,,,,,,,0,0,0,,30jun2002
42,2003,0,0,,,13863786,16594781,.835,2730995,0,2497731,322046.968,1,322046.968,1,,,,,,,,0,0,0,,30jun2003
42,2004,0,0,,,14255131,17617626,.8090000000000001,3362495,0,2641533,364351.412,1,364351.412,1,,,,,,,,0,0,0,,30jun2004
42,2005,0,0,,,14598843,19134870,.763,4536027,0,2703430,383776.826,.9300000000000001,383776.826,.9300000000000001,,,,,,,,0,0,0,,30jun2005
42,2006,0,0,,,14857641,20324781,.731,5467140,0,2859477,406107.266,.87,406107.266,.87,,,,,,,,0,0,0,,30jun2006
42,2007,0,0,,,15284955,21254974,.7190000000000001,5970019,0,2975289,494565.369,.88,494565.369,.88,,,,,,,,0,0,0,,30jun2007
42,2008,0,0,,,15321325,22460304,.6820000000000001,7138979,0,3190332,563789.483,.83,563789.483,.83,,,,,,,,0,0,0,,30jun2008
42,2009,0,0,,,14885981,23400426,.636,8514445,0,3253077,600282.735,.74,600282.735,.74,,,,,,,,0,0,0,,30jun2009
42,2010,0,0,,,14851330,24344316,.61,9492986,0,3321614,633938.088,.76,633938.088,.76,,,,,,,,0,0,0,,30jun2010
42,2011,0,0,,,14908138,25968692,.574,11060554,0,3451756,678741.428,1.53,678741.428,1.53,,,,,,,,0,0,0,,30jun2011
