ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
3,2001,0,0,,,2004,.16360001,.068300001,.095299996,.1087772,.1770772,222589,92915.391,129673.61,147980.61,240896,0,0,0,0,1360401
3,2002,0,0,,,2005,.2014,.068300001,.1331,.24912173,.31742173,282508,95803.453,186704.55,349439.53,445243,0,0,0,0,1402686
3,2003,0,0,,,2006,.2005,.068099998,.13239999,.24831317,.31641319,292826,99479.32,193346.67,362731.69,462211,0,0,0,0,1460783
3,2004,0,0,,,2007,.2013,.068099998,.13319999,.28187796,.34997794,296486,100310.41,196175.58,415202.59,515513,0,0,0,0,1472987
3,2005,0,0,,,2008,.2132,.068400003,.14479999,.32511601,.393516,338392,108543.34,229848.66,515923.66,624467,0,0,0,0,1586891
3,2006,0,0,,,2009,.1066,.068400003,.038199998,.10905738,.17745738,178660,114660.15,63999.848,182814.84,297475,0,0,0,0,1676318
3,2007,0,0,,,2010,.099700004,.068581216,.031118782,.1094327,.17801392,168420,115900.13,52519.867,184937.88,300838,0,0,0,0,1689969
3,2008,0,0,,,2011,.0995,.06939593,.030104073,.11321423,.18261017,164812,115001.96,49810.039,187617.05,302619,0,0,0,0,1657186
3,2009,0,0,,,2012,.0999,.069510795,.030389201,.17650837,.24601917,166056,115581.23,50474.766,293494.75,409076,0,0,0,0,1662781
3,2010,0,0,,,2013,.1022,.069686234,.032513767,.19682953,.26651576,169799,115760.68,54038.32,326967.31,442728,0,0,0,0,1661170
3,2011,0,0,,,2014,.1073,.069670357,.037629642,.22238904,.29205939,172968,112290.78,60677.215,358434.22,470725,0,0,0,0,1611744
3,2012,0,0,,,2015,.1065,.069815114,.036684889,.33244708,.40226218,167203,109589.48,57613.523,521845.53,631435,0,0,0,0,1569710
3,2013,0,0,,,2016,.1062,.069774233,.023800001,.38008422,.44985849,160828,105640.56,55187.438,575460.44,681101,0,0,0,0,1514034
3,2014,0,0,,,2017,.13079999,.069180831,.038199998,.29393739,.36311826,184712,97699.734,87012.266,415109.28,512809,0,0,0,0,1412237
3,2015,0,0,,,2018,.1302,.069142625,.035399999,.27561614,.34475875,172304,91470.508,80833.492,364619.5,456090,0,0,0,0,1322925
3,2016,0,0,,,2019,.1478,.069347642,.042399999,.32061568,.38996333,184411,86537.813,97873.188,400091.19,486629,0,0,0,0,1247884
4,2001,0,0,,,2004,.1908,.087200001,.1476,.14469396,.23189396,94651,43267.594,51383.406,71795.406,115063,0,0,0,0,496188
4,2002,0,0,,,2005,.23469999,.087099999,.1476,.35572806,.44282806,119567,44371.961,75195.039,181221.03,225593,0,0,0,0,509437
4,2003,0,0,,,2006,.2297,.086899996,.1428,.34999803,.43689805,122346,46285.547,76060.453,186419.45,232705,0,0,0,0,532630
4,2004,0,0,,,2007,.2244,.086800002,.1376,.91426766,1.0010676,561038,48698.098,512339.91,512938.91,561637,0,0,0,0,561038
4,2005,0,0,,,2008,.21250001,.086899996,.12560001,.21072689,.29762688,119243,48754.203,70488.797,118225.8,166980,0,0,0,0,561038
4,2006,0,0,,,2009,.1163,.0867,.0296,.20564787,.29234788,70133,52283.133,17849.865,124012.87,176296,0,0,0,0,603035
4,2007,0,0,,,2010,.11520001,.082500003,.032699998,.22459936,.30709937,67135,48076.297,19058.703,130883.7,178960,0,0,0,0,582743
4,2008,0,0,,,2011,.1151,.078699999,.036400001,.23242639,.31112638,66297,45326.949,20970.049,133865.05,179192,0,0,0,0,575946
4,2009,0,0,,,2012,.1154,.075000003,.040399998,.32168624,.39668626,67345,43780.949,23564.051,187783.05,231564,0,0,0,0,583746
4,2010,0,0,,,2013,.1251,.071599998,.0535,.38586971,.4574697,74064,42383.117,31680.881,228412.88,270796,0,0,0,0,591943
4,2011,0,0,,,2014,.12180001,.067900002,.0539,.42064869,.4885487,69548,38834.93,30713.07,240587.06,279422,0,0,0,0,571943
4,2012,0,0,,,2015,.1247,.064800002,.059899997,.62011027,.6849103,69113,35917.148,33195.852,343712.84,379630,0,0,0,0,554277
4,2013,0,0,,,2016,.122,.062199999,.059799999,.69669235,.75889236,64326,32808.883,31517.117,367487.13,400296,0,0,0,0,527474
4,2014,0,0,,,2017,.1296,.0592,.0704,.47425956,.53345954,63608,29047.486,34560.512,232703.52,261751,0,0,0,0,490667
4,2015,0,0,,,2018,.1288,.0548,.074000001,.29543662,.35023662,61010,25960.623,35049.375,139958.38,165919,0,0,0,0,473734
4,2016,0,0,,,2019,.1521,.051799998,.1003,.3545261,.40632612,68376,23290.781,45085.219,159405.22,182696,0,0,0,0,449629
5,2001,0,0,,,2003,.1886,.076499999,.1121,.037500001,.11399999,,,,,,0,0,0,0,
5,2002,0,0,,,2004,.1926,.076499999,.1161,.0766,.1531,,,,,,0,0,0,0,
5,2003,0,0,,,2005,.17969999,.076499999,.1032,.1005,.177,,,,,,0,0,0,0,
5,2004,0,0,,,2006,.17940001,.076499999,.1029,.12800001,.2045,,,,,,0,0,0,0,
5,2005,0,0,,,2007,.18360001,.076499999,.1071,.1709,.2474,,,,,,0,0,0,0,
5,2006,0,0,,,2008,.17729999,.076499999,.1008,.16520001,.24169999,,,,,,0,0,0,0,
5,2007,0,0,,,2009,.1998,.076499999,.1233,.21709999,.29359999,,,,,,0,0,0,0,
5,2008,0,0,,,2010,.19450001,.076499999,.118,.2077,.28420001,,,,,,0,0,0,0,
5,2009,0,0,,,2011,.19159999,.076499999,.1151,.19600001,.27250001,,,,,,0,0,0,0,
5,2010,0,0,,,2012,.1925,.076499999,.116,.21260001,.28909999,,,,,,0,0,0,0,
5,2011,0,0,,,2013,.1988,.076499999,.1223,.257,.3335,,,,,,0,0,0,0,
5,2012,0,0,,,2014,.2069,.076499999,.1304,.29049999,.36700001,,,,,,0,0,0,0,
