ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
166,2014,0,0,,,,,5535,402899.09,,,72.791,403,99,6143,229568.86,,36.778,6143,,,,,,,,,,0,,,12081,0,0
166,2015,0,0,,,,,5541,418728.59,,,75.569,402,95,6285,229562.2,,36.93,6285,,,,,,,,,,0,,,12228,0,0
166,2016,0,0,,,,,5513,427622.47,,,77.566002,105,395,6348,234072.92,,37.326,6348,,,,,,,,,,0,,,11966,0,0
167,2001,0,0,,,,,6077,238387.17,,,39.227772,1348,,6511,89701.406,,13.776901,6511,,,,,,,,,,0,,,13936,1,1
167,2002,0,0,,,,,5793,234679.13,,,40.510811,1525,,6637,96961.008,,14.609162,6637,,,,,,,,,,0,,,13955,1,1
167,2003,0,0,,,,,5465,233477.63,,,42.722347,1559,,6695,101444.26,,15.152242,6695,,,,,,,,,,0,,,13719,1,1
167,2004,0,0,,,,,4980,209795.78,,,42.127998,1430,,7299,121097.71,,16.591,7299,,,,,,,,,,0,,,13709,0,1
167,2005,0,0,,,,,5056,225721.69,,,44.644001,1399,,7275,124082.02,,17.055948,7275,,,,,,,,,,0,,,13730,0,1
167,2006,0,0,,,,,4898,223005.09,,,45.529999,1404,,7299,128010.1,,17.538033,7299,,,,,,,,,,0,,,13601,0,1
167,2007,0,0,,,,,4814,227364.39,,,47.23,1385,,7321,131611.25,,17.977222,7321,,,,,,,,,,0,,,13520,0,1
167,2008,0,0,,,,,4837,233820.17,,,48.34,1397,,7308,134363.23,,18.385775,7308,,,,,,,,,,0,,,13542,0,1
167,2009,0,0,,,,,4808,237040.11,,,49.300999,1659,,7292,137374.8,,18.839111,7292,,,,,,,,,,0,,,13759,0,1
167,2010,0,0,,,,,4448,221647.44,,,49.831001,1493,,7441,143106.69,,19.232185,7441,,,,,,,,,,0,,,13382,0,1
167,2011,0,0,,,,,3972,190747.97,,,48.022999,1341,,7747,148838.58,,19.212416,7747,,,,,,,,,,0,,,13060,0,1
167,2012,0,0,,,,,3934,189131.72,,,48.076,1196,,7867,158040.28,,20.089016,7867,,,,,,,,,,0,,,12997,0,1
167,2013,0,0,,,,,3911,188605.48,,,48.223999,1411,,7940,162296.67,,20.440388,7940,,,,,,,,,,0,,,13262,0,1
167,2014,0,0,,,,,3680,191432.92,,,53.868,1370,,7979,165787.63,,20.777996,7979,,,,,,,,,,0,,,13029,0,1
167,2015,0,0,,,,,3619,194871.56,,,53.847,1387,,7991,169278.56,,21.183651,7991,,,,,,,,,,0,,,12997,0,1
167,2016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
168,2001,0,0,,,236,,1676,89654.266,,,53.493,17,,1425,35000.852,,24.562,1189,,,,,,,,,,0,,,3118,1,0
168,2002,0,0,,,231,,1685,96873.688,,,57.491802,17,,1428,42071.941,,29.462143,1197,,,,,,,,,,0,,,3130,1,1
168,2003,0,0,,,222,,1622,98920.672,,,60.986851,17,,1478,45950.527,,31.089666,1256,,,,,,,,,,0,,,3117,1,1
168,2004,0,0,,,215,,1468,89152.508,,,60.730591,29,,1639,58328.719,,35.587994,1424,,,,,,,,,,0,,,3136,1,1
